state,FIPS_state,year,renting_hh,filings_estimate,filings_ci_95_lower,filings_ci_95_upper,ind_filings_court_issued,ind_filings_court_issued_LT,hh_threat_estimate,hh_threat_95_lower,hh_threat_95_upper
Vermont,50,2002,71687,978,665,1404,0,,949,650,1354
Vermont,50,2003,72105,1032,714,1466,0,,1003,696,1419
Vermont,50,2004,72524,1014,692,1448,0,,989,686,1409
Vermont,50,2005,72942,1417,1191,1684,0,,1377,1155,1642
Vermont,50,2006,73361,1465,1227,1747,0,,1420,1184,1688
Vermont,50,2007,73779,1438,1220,1693,0,,1393,1176,1634
Vermont,50,2008,74198,1459,1242,1703,0,,1415,1206,1657
Vermont,50,2009,74617,1345,1237,1480,0,,1305,1186,1445
Vermont,50,2010,75035,1423,1308,1564,0,,1379,1250,1521
Vermont,50,2011,75925,1611,1483,1771,0,,1558,1405,1719
Vermont,50,2012,76814,1683,1661,1706,1,1,1626,1515,1680
Vermont,50,2013,77704,1795,1772,1819,1,1,1731,1605,1791
Vermont,50,2014,78594,1813,1789,1837,1,1,1744,1613,1808
Vermont,50,2015,79483,1694,1672,1717,1,1,1630,1507,1690
Vermont,50,2016,80373,1787,1764,1811,1,1,1717,1584,1782
Vermont,50,2017,81263,1750,1727,1774,1,1,1684,1559,1745
Vermont,50,2018,82152,1750,1727,1774,1,1,1687,1560,1747
Virginia,51,2000,861234,120274,109002,133187,0,,79312,63766,94553
Virginia,51,2001,875198,129935,118315,142653,0,,82657,65261,99875
Virginia,51,2002,889162,144602,132008,158024,0,,91616,72872,109611
Virginia,51,2003,903125,148138,135168,161760,0,,94385,74980,112785
Virginia,51,2004,917089,156341,142790,171200,0,,103254,83032,122245
Virginia,51,2005,931053,162716,150440,175898,0,,109457,88563,128406
Virginia,51,2006,945017,163236,150495,177264,0,,109379,87854,128941
Virginia,51,2007,958981,148264,136162,161146,0,,99873,80705,117575
Virginia,51,2008,972944,164782,152272,178501,0,,109005,87559,128962
Virginia,51,2009,986908,159970,148131,172930,0,,105207,84353,124803
Virginia,51,2010,1000872,185510,183363,188803,0,,120628,103604,135995
Virginia,51,2011,1018193,188490,186326,191877,0,,120507,113472,126653
Virginia,51,2012,1035514,178161,176002,181652,0,,115071,110502,119194
Virginia,51,2013,1052835,183803,181582,187343,0,,115820,111774,119433
Virginia,51,2014,1070155,181257,178984,184917,0,,116847,112823,120469
Virginia,51,2015,1087476,174535,172248,177929,0,,113529,110287,116608
Virginia,51,2016,1104797,159298,156995,163231,0,,104553,102069,107189
Virginia,51,2017,1122118,169117,156484,182931,0,,109438,87456,130342
Virginia,51,2018,1139439,170070,156747,184830,0,,110835,87707,131801
Washington,53,2000,804389,17652,15324,20410,0,,16628,14449,19096
Washington,53,2001,818566,19036,16439,21887,0,,17826,15552,20439
Washington,53,2002,832742,18816,16292,21812,0,,17699,15393,20345
Washington,53,2003,846919,19955,17345,22927,0,,18718,16374,21382
Washington,53,2004,861096,22458,22458,22458,1,0,21348,21116,21507
Washington,53,2005,875272,22782,22782,22782,1,0,21755,21669,21813
Washington,53,2006,889449,21586,21586,21586,1,0,20628,20450,20758
Washington,53,2007,903626,20708,20708,20708,1,0,19628,19404,19779
Washington,53,2008,917803,19432,19432,19432,1,0,18423,18341,18476
Washington,53,2009,931979,18090,18074,18112,0,,17141,16975,17259
Washington,53,2010,946156,18372,18372,18372,1,0,17519,17349,17633
Washington,53,2011,961146,19866,19866,19866,1,0,18981,18781,19119
Washington,53,2012,976136,18059,18059,18059,1,0,17193,17030,17310
Washington,53,2013,991126,18828,18828,18828,1,0,18063,17958,18133
Washington,53,2014,1006116,20229,18366,22613,0,,19234,17570,21302
Washington,53,2015,1021106,20270,18388,22771,0,,19182,17536,21359
Washington,53,2016,1036096,18611,17048,20611,0,,17658,16219,19472
Washington,53,2017,1051086,18193,16674,20259,0,,17250,15900,19045
Washington,53,2018,1066076,16190,14986,17699,0,,15381,14256,16753
West Virginia,54,2000,182782,7085,2770,14839,0,,6629,2627,13375
West Virginia,54,2001,184786,8748,3521,17720,0,,8041,3317,15892
West Virginia,54,2002,186789,7637,3000,15964,0,,7131,2890,14095
West Virginia,54,2003,188793,9103,3643,18835,0,,8413,3448,16777
West Virginia,54,2004,190796,9146,3633,18692,0,,8548,3525,16961
West Virginia,54,2005,192800,10022,4044,20696,0,,9365,3864,18606
West Virginia,54,2006,194804,9932,4019,20373,0,,9305,3901,18654
West Virginia,54,2007,196807,10402,4190,21251,0,,9631,4017,18889
West Virginia,54,2008,198811,10295,4193,20736,0,,9531,4045,18498
West Virginia,54,2009,200814,10839,4451,21978,0,,9971,4273,19308
West Virginia,54,2010,202818,11207,4581,22560,0,,10318,4402,20092
West Virginia,54,2011,208427,11874,4848,24031,0,,10882,4639,20973
West Virginia,54,2012,214036,11950,4901,24173,0,,10966,4610,21225
West Virginia,54,2013,219645,12575,5179,25506,0,,11484,4914,22095
West Virginia,54,2014,225254,12942,5377,26323,0,,11769,5043,22650
West Virginia,54,2015,230863,13184,5525,26832,0,,11911,5158,22996
West Virginia,54,2016,236472,13630,5735,27452,0,,12290,5371,23554
West Virginia,54,2017,242081,12183,5067,24544,0,,11100,4823,21346
West Virginia,54,2018,247690,12181,4984,24640,0,,11141,4774,21504
Wisconsin,55,2000,658183,24177,24170,24186,0,,22760,22249,23121
Wisconsin,55,2001,665186,25187,25179,25197,0,,23884,23800,23946
Wisconsin,55,2002,672188,23688,23678,23700,0,,22130,22094,22156
Wisconsin,55,2003,679191,23610,23603,23618,0,,22363,22146,22515
Wisconsin,55,2004,686194,24118,24108,24131,0,,22767,22193,23161
Wisconsin,55,2005,693197,25548,25538,25560,0,,24748,24665,24808
Wisconsin,55,2006,700199,26740,26731,26752,0,,25938,25873,25985
Wisconsin,55,2007,707202,27295,27286,27307,0,,25499,25486,25513
Wisconsin,55,2008,714205,28313,28302,28325,0,,26096,26076,26112
Wisconsin,55,2009,721207,27726,27726,27726,1,0,25233,25214,25245
Wisconsin,55,2010,728210,26921,26913,26931,0,,24593,24577,24607
Wisconsin,55,2011,738132,27985,27976,27996,0,,25599,25590,25609
Wisconsin,55,2012,748053,28674,28665,28686,0,,26322,26307,26337
Wisconsin,55,2013,757975,28565,28565,28565,1,0,26233,26221,26241
Wisconsin,55,2014,767896,29648,29648,29648,1,0,27059,27057,27060
Wisconsin,55,2015,777818,27958,27958,27958,1,0,25588,25586,25589
Wisconsin,55,2016,787739,28496,28396,28619,0,,26011,25917,26124
Wisconsin,55,2017,797661,28772,28772,28772,1,0,25845,25834,25852
Wisconsin,55,2018,807582,28737,26227,31792,0,,26759,24279,29589
Wyoming,56,2000,58094,565,428,724,0,,546,418,701
Wyoming,56,2001,59265,651,490,837,0,,625,473,804
Wyoming,56,2002,60436,781,596,992,0,,746,569,951
Wyoming,56,2003,61606,846,646,1080,0,,809,618,1034
Wyoming,56,2004,62777,848,647,1094,0,,815,623,1048
Wyoming,56,2005,63948,916,736,1136,0,,881,712,1087
Wyoming,56,2006,65119,912,726,1136,0,,875,699,1087
Wyoming,56,2007,66290,923,733,1147,0,,884,700,1100
Wyoming,56,2008,67460,922,736,1135,0,,884,702,1093
Wyoming,56,2009,68631,1103,884,1372,0,,1050,835,1294
Wyoming,56,2010,69802,1134,913,1401,0,,1081,872,1331
Wyoming,56,2011,71751,1124,907,1372,0,,1071,863,1301
Wyoming,56,2012,73700,1067,885,1287,0,,1022,843,1231
Wyoming,56,2013,75649,1066,898,1264,0,,1022,857,1212
Wyoming,56,2014,77598,1308,1308,1308,1,0,1238,1130,1293
Wyoming,56,2015,79547,1329,1329,1329,1,0,1257,1144,1313
Wyoming,56,2016,81496,1464,1464,1464,1,0,1376,1246,1442
Wyoming,56,2017,83445,1400,1400,1400,1,0,1318,1188,1381
Wyoming,56,2018,85394,1282,1056,1549,0,,1218,1006,1474
